Year,ActionGeo_CountryCode,goldstein_score,tone
2022,BD,1.47,-0.01
2022,CQ,2.32,-0.37
2022,RP,0.93,-0.98
2022,MK,1.82,-0.92
2022,NR,1.16,-2.14
2022,WE,-2.65,-4.97
2022,AV,1.18,0.54
2022,SM,2.2,0.57
2021,AS,0.83,-1.77
2021,FJ,1.49,-0.77
2021,LG,1.13,-1.62
2021,JN,-3.11,-0.92
2021,AC,1.12,-1.68
2021,SG,0.83,-1.72
2021,NF,1.94,-0.13
2021,PP,1.33,-1.31
2021,CS,1.55,-0.55
2021,VQ,0.91,-1.56
2021,IM,0.96,-1.08
2021,RM,1.57,-1.13
2021,TP,1.64,0.42
2021,IC,1.43,-0.74
2021,ET,-0.07,-3.74
2021,VI,1.37,-1.53
2021,IV,0.69,-2.29
2021,ST,1.74,0.34
2021,MV,1.78,0.71
2021,IN,0.54,-1.94
2021,AL,0.97,-2.23
2021,EZ,0.98,-1.69
2021,US,0.52,-2.11
2021,BG,0.66,-1.9
2021,ZI,0.64,-2.06
2021,SC,1.86,1.42
2021,NE,2.3,0.4
2021,KU,1.47,-0.56
2021,PG,-0.17,-2.66
2021,TU,0.65,-2.39
2021,AY,1.34,-0.18
2021,LY,0.86,-2.58
2021,CB,1.38,-1.24
2021,MJ,1.26,-1.32
2021,KT,0.69,-2.4
2021,NI,-0.05,-2.35
2021,GZ,-1.58,-4.4
2021,UV,-1.43,-5.36
2021,NC,1.22,-1.71
2021,MU,2.02,0.5
2021,CD,-0.45,-3.75
2021,MY,1.12,-1.34
2021,SH,1.61,-1.07
2021,YI,-0.99,-4.52
2021,WQ,-0.81,-2.92
2021,GP,0.19,-3.99
2021,LU,1.85,-0.36
2021,CO,-0.07,-3.37
2021,BE,1.2,-1.64
2021,ML,-0.44,-3.98
2021,VE,0.31,-3.13
2021,TL,2.91,0.37
2021,PU,1.65,-1.6
2021,PC,0.6,-1.74
2021,GA,0.87,-1.13
2021,TS,0.52,-2.68
2021,SM,1.3,-0.5
2021,TD,0.9,-1.27
2021,GB,1.45,-0.78
2021,BA,1.88,0.2
2021,NH,1.81,0.31
2021,SU,0.47,-3.23
2021,MN,1.31,0.33
2021,FQ,7.4,1.54
2021,SY,-0.43,-3.82
2021,PM,1.01,-1.66
2021,MD,1.97,-0.4
2021,UY,1.98,-0.08
2021,VM,1.5,-0.52
2021,ID,0.97,-1.87
2021,BC,1.19,-1.16
2021,WZ,-0.71,-3.88
2021,IZ,-0.31,-3.17
